DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240108808,03/10/2024 12:00:00 AM,03/09/2024 12:00:00 AM,1115,01,Central,0192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0325,0,X,X,101,STREET,,,IC,Invest Cont,341,,,,1300 S  HILL                         ST,,34.0363,-118.2672
240700641,03/27/2024 12:00:00 AM,03/27/2024 12:00:00 AM,0005,07,Wilshire,0721,2,624,BATTERY - SIMPLE ASSAULT,0447 0416 0907 1407 1266,26,M,H,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8700 W  BEVERLY                      BL,,34.0768,-118.3806
241407948,03/27/2024 12:00:00 AM,03/22/2024 12:00:00 AM,1600,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,43,M,W,212,TRANSPORTATION FACILITY (AIRPORT),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,341,,,,600    WORLD                        WY,,33.9429,-118.403
241900591,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1100,19,Mission,1913,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0444 1814,32,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,,,15400    COBALT                       ST,,34.3095,-118.4671
241208402,03/15/2024 12:00:00 AM,03/14/2024 12:00:00 AM,1000,12,77th Street,1283,1,310,BURGLARY,0344,62,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,310,,,,10000 S  WESTERN                      AV,,33.9455,-118.309
240506665,03/10/2024 12:00:00 AM,03/10/2024 12:00:00 AM,1100,05,Harbor,0551,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 0400 0913 2000 2021 1202,68,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1000 W  ELBERON                      AV,,33.7484,-118.2989
241208693,03/20/2024 12:00:00 AM,03/06/2024 12:00:00 AM,0800,12,77th Street,1242,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0400 0444 0429 0416 1814 2000,46,F,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,236,,,,6500    2ND                          AV,,33.9805,-118.3197
240707406,03/22/2024 12:00:00 AM,03/22/2024 12:00:00 AM,0900,07,Wilshire,0765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0500,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,845,,,,4800    VENICE                       BL,,34.0467,-118.3407
240608084,03/30/2024 12:00:00 AM,03/29/2024 12:00:00 AM,2025,06,Hollywood,0638,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1501 1300 0329,47,F,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,1800 N  BRONSON                      AV,,34.1032,-118.318
242007137,03/13/2024 12:00:00 AM,03/12/2024 12:00:00 AM,0220,20,Olympic,2039,1,330,BURGLARY FROM VEHICLE,1822 0344,60,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,2800    LEEWARD                      AV,,34.0587,-118.2842
