"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240707903","2024 Apr 06 12:00:00 AM","2024 Apr 04 12:00:00 AM","1738","07","Wilshire","0724","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325 2028","23","X","X","203","OTHER BUSINESS",,,"IC","Invest Cont","442",,,,"100    THE GROVE                    DR",,"34.0736","-118.3563"
"241509569","2024 Apr 25 12:00:00 AM","2024 Apr 23 12:00:00 AM","1500","15","N Hollywood","1546","1","520","VEHICLE - ATTEMPT STOLEN","1501 0329","81","M","W","101","STREET",,,"IC","Invest Cont","520",,,,"11600    HESBY                        ST",,"34.1622","-118.3856"
"241107443","2024 Apr 14 12:00:00 AM","2024 Apr 13 12:00:00 AM","2000","11","Northeast","1143","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"ALEXANDRIA                   AV","MARIPOSA","34.1053","-118.2785"
"240508096","2024 Apr 18 12:00:00 AM","2024 Apr 18 12:00:00 AM","1200","05","Harbor","0565","2","624","BATTERY - SIMPLE ASSAULT","0913 0416 1259 1824 2024","14","M","B","704","ELEMENTARY SCHOOL","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"700 S  CABRILLO                     AV",,"33.7379","-118.2946"
"241808678","2024 Apr 10 12:00:00 AM","2024 Apr 10 12:00:00 AM","1130","18","Southeast","1832","2","624","BATTERY - SIMPLE ASSAULT","0913 0602 0555 0319 0444 0416","20","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"10600 S  BROADWAY",,"33.9401","-118.2781"
"241809405","2024 Apr 27 12:00:00 AM","2024 Apr 24 12:00:00 AM","2100","18","Southeast","1836","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"1400 E  109TH                        ST",,"33.9368","-118.2499"
"242008314","2024 Apr 15 12:00:00 AM","2024 Apr 14 12:00:00 AM","2345","20","Olympic","2022","1","352","PICKPOCKET","1822 0344","30","M","C","207","BAR/COCKTAIL/NIGHTCLUB",,,"IC","Invest Cont","352",,,,"600 S  WESTERN                      AV",,"34.0655","-118.3114"
"240110772","2024 Apr 27 12:00:00 AM","2024 Apr 26 12:00:00 AM","2200","01","Central","0162","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1307","26","M","W","122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","740",,,,"800 S  GRAND                        AV",,"34.0459","-118.2579"
"240508370","2024 Apr 26 12:00:00 AM","2024 Apr 24 12:00:00 AM","0430","05","Harbor","0516","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"1100    ISLAND                       AV",,"33.7848","-118.2664"
"241907740","2024 Apr 11 12:00:00 AM","2024 Apr 11 12:00:00 AM","1900","19","Mission","1985","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1822 2033","29","M","H","108","PARKING LOT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","230",,,,"8300    VAN NUYS                     BL",,"34.2215","-118.4488"
